segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation
2cf525980f9ddf323e7108cf8319b212,Đường Nguyễn Sơn,10.7810287,106.6332492,10.7834192,106.6249141,1.0,50.0,,,,,,,,,,,,,,,,0.010726,286.2761311327781,0.9491602843543971,4,-0.7374939844603046,29.0,22.0
5607986b5ca983a49abe235ecaa49877,Lãnh Binh Thăng,10.7631981,106.6504197,10.7622847,106.65559,1.0,50.0,,,,,,,,,,,,,,,,0.006084,100.19384543122959,0.5744511913421295,5,0.6963167733457959,28.0,32.0
364573706454b6977a6ae34b10f00b3c,Bình Thới,10.7636884,106.643989,10.7628698,106.6422657,1.0,50.0,,,,,,,,,,,,,,,,0.002542,244.19521194234824,0.2091054654449474,2,-0.95645515326167,21.0,19.0
ba7f7c3490fb2dcff2bca07b64fdd373,Công Trường Quách Thị Trang,10.7712269,106.6986125,10.7718767,106.6986499,1.5,50.0,,tertiary,asphalt,yes,,,,,,,,,,,,0.000687,3.2361710707621683,0.07199267297516206,2,0.0,24.0,24.0
268a920a92850452241197e08b870a5f,Trần Hưng Ðạo,10.752179,106.6632877,10.7680299,106.6953474,1.0,50.0,,,,,,,,,,,,,,,,0.047911,63.282407822489176,3.9204412923460086,4,-0.30608799125312625,30.0,18.0
ed1ed85b3a4498dc0344c576708d092f,Quốc lộ 1K,10.8757339,106.766068,10.8833914,106.7705975,1.0,50.0,,,,,,,,,,,,,,,,0.012187,30.15101204068742,0.9811691659228091,1,1.223030687956216,16.0,28.0
931e092078f2614a71934d3a4ec00d60,Cầu Sài Gòn 2,10.7983208,106.7250464,10.7988988,106.728642,1.0,55.0,,trunk,asphalt,yes,,,,,,yes,,,,yes,,0.004174,80.70559491100937,0.39838240580419954,1,0.7530453042834593,18.0,21.0
c63e91db92734676e73437f2103e5801,Dạ Nam,10.7536606,106.686888,10.7531123,106.6869589,1.5,50.0,,primary,asphalt,yes,,,,,,yes,,,,,,0.000619,172.7600320171066,0.06114285069988636,1,0.0,24.0,24.0
297aa53831588423b2352487df6040c8,Lạc Long Quân,10.769814,106.6444321,10.7666571,106.6423879,1.0,50.0,,residential,asphalt,,,,,,,,,,,,,0.005201,212.4619169721183,0.41463712952522014,4,-1.2058736769968588,28.0,23.0
25257d8d791a2837985f008f621b90cc,Nguyễn Văn Quá,10.8261451,106.6265884,10.8264064,106.6266087,1.0,50.0,,,,,,,,,,,,,,,,0.000282,4.363537922283967,0.02898841540518602,2,0.0,7.0,7.0
0a60d9b8c8faa3dd63ef9ea253cdc80f,Phường Cát Lái,10.7581824,106.7888166,10.7581122,106.7889037,1.0,50.0,,,,,,,,,,,,,,,,0.000157,129.36508349504982,0.012290330661075866,1,0.0,11.0,11.0
bd0bdfc59239b2c228e0d185d9029e5d,Trần Nam Trung,10.7085686,106.8191301,10.7065115,106.8236348,1.0,50.0,,,,,,,,,,,,,,,,0.006562,114.92615601168109,0.5427832252486371,5,0.3684712251532541,22.0,24.0
0011fbb6aaa8e16f8ec56fe7e1f253e0,Quách Thị Trang,10.7044998,106.847625,10.7041127,106.8398361,1.0,50.0,,,,,,,,,,,,,,,,0.008176,267.10522385447683,0.8531421655325446,4,-0.9377100702795854,16.0,8.0
5f662f25fd725bdeb66d40dda83905f0,Võ Chí Công,10.769328,106.7748346,10.7655125,106.770577,1.0,50.0,,,,,,,,,,,,,,,,0.008073,227.62860516545538,0.6284614846812162,1,3.5006122946674108,8.0,30.0
5e821e35fcda063be2bb55ed0cd66a70,Đường Liên Ấp 6-2,10.8195165,106.5507126,10.8195126,106.5508201,1.0,50.0,,,,,,,,,,,,,,,,0.000111,92.11528583731206,0.011763414459228011,5,0.0,14.0,14.0
dde9586f3c1888aaba6c91fc8ec11ec1,Ấp Bắc,10.7997419,106.6413422,10.8000771,106.6415662,1.0,50.0,,,,,,,,,,,,,,,,0.000559,33.28172563664839,0.04443915061229378,1,2.250268032178268,25.0,26.0
8fba7e31168ae20e00328be21fe2091a,Lê Lai,10.7700912,106.6941287,10.76857,106.6902339,1.5,50.0,,primary,asphalt,yes,,,,,,,,,,,,0.005416,248.31886403983376,0.4580093060161106,1,-1.3100170501314985,19.0,13.0
71bd2c75bf9049e44b14c5bd0dca7e4f,Sư Vạn Hạnh,10.7740549,106.6683653,10.77004,106.6705481,1.0,50.0,,,,,,,,,,,,,,,,0.006198,151.89336730732566,0.5042016031834343,4,-0.39666672762886424,27.0,25.0
f96c06c220bb6aec5f6839606772eb70,Tân Chánh Hiệp 39,10.877165,106.6248126,10.8825854,106.6163333,1.0,50.0,,,,,,,,,,,,,,,,0.0139,303.0629835402649,1.104045754219961,3,-0.27172786893416234,26.0,23.0
66c08a73a2cf82eaa5ad8644dab4e87c,Tân Kỳ Tân Quý,10.7994476,106.6193962,10.7916934,106.6052666,1.0,50.0,,,,,,,,,,,,,,,,0.021884,240.81015520573055,1.767330479320397,1,-1.24481528822271,33.0,11.0
2c13b08f45398838cbdc9f0c9a8d89e2,Vạn Kiếp,10.7504541,106.6597273,10.7502217,106.659871,1.0,50.0,,,,,,,,,,,,,,,,0.000376,148.7222127818028,0.030130830626138583,3,0.0,24.0,24.0
bbf44e86b20088618eb9b2fce9be05d0,Đường Quang Trung,10.8388107,106.6491032,10.8408842,106.6452271,1.0,50.0,,,,,,,,,,,,,,,,0.00595,298.57588232245274,0.48191507046970744,4,-0.41501088522727936,12.0,10.0
98e7086cdf3fb34a7d50cdbb21c5ece0,Lê Hoàng Phái,10.8428373,106.6753185,10.8395688,106.6754115,1.0,50.0,,,,,,,,,,,,,,,,0.003361,178.39924354521168,0.3616834334868191,5,-0.8294546341474415,12.0,9.0
035b1873d845ded3f521e9b067468ac8,Bình Trị Đông,10.7614144,106.6100165,10.76138,106.6100099,1.0,50.0,,,,,,,,,,,,,,,,4.1e-05,190.67423595107394,0.00387295584348513,4,0.0,16.0,16.0
81f76bbbcd1147a3e9f2e52b5b9c05eb,Hương lộ 10,10.6817688,106.5406723,10.681336,106.5412694,1.0,50.0,,,,,,,,,,,,,,,,0.00103,126.41308932186536,0.08098851064779689,5,1.234743041946781,16.0,17.0
45451154c2024c922a22984ec583ee80,Cầu Calmette,10.7671805,106.6998985,10.7645089,106.700715,1.0,50.0,,,,,,,,,,,,,,,,0.003488,163.28791880985534,0.3087125044629598,4,-0.6478519564600163,21.0,19.0
1fe938e2d17aafebcc703e4d16744c64,Cầu Thầy Tiêu,10.7289172,106.716972,10.7294379,106.7153476,1.5,65.0,,trunk,asphalt,yes,,,,,,,,,,,,0.002145,288.0692030528611,0.18678839186959165,5,0.0,29.0,29.0
3b1dafb6ae9c3305f6a35706e80af864,Hai Bà Trưng,10.7756896,106.7060815,10.7914566,106.6874653,1.0,50.0,,,,,,,,,,,,,,,,0.034383,310.76885525429253,2.680842697454365,2,1.0071460002348613,6.0,33.0
1b5b958c37a611a63e7132e95820b427,Hải Thượng Lãn Ông,10.7507545,106.6545334,10.7504376,106.6601575,1.5,50.0,,tertiary,asphalt,yes,,,,,,,,,,,,0.005941,93.2819891592531,0.6161529738234562,2,0.9737841501872155,19.0,25.0
e70acbe9f7d46f0d61297b911d0ecb2c,Mai Chí Thọ,10.7833905,106.7417533,10.7733243,106.7224129,1.0,50.0,,,,,,,,,,,,,,,,0.029407,242.08616275406519,2.390391317157587,3,0.04183415463494486,19.0,20.0
949aedf36205bae2a02199956ab9e470,Ngô Gia Tự,10.7565017,106.6664916,10.7615444,106.670086,1.0,50.0,,primary,asphalt,yes,,,,,,,,,,,,0.008637,35.001780382784204,0.6824116574573804,3,1.3188520303907747,7.0,16.0
2cbbb6b3a0228834f79263bf3e857124,Trần Nhân Tôn,10.7633139,106.6746238,10.7664111,106.673962,1.0,50.0,,,,,,,,,,,,,,,,0.003759,348.1448605117263,0.3501538054791571,3,0.5711775707429946,22.0,24.0
f6d6fdc8243654b3205cca9e58cd0e26,Ngô Quyền,10.7613478,106.6650929,10.756629,106.6661917,1.0,50.0,,,,,,,,,,,,,,,,0.005818,167.1144940513077,0.5356178046849397,5,-0.7468011640040373,11.0,7.0
1546bffddbe259fb943c0c70473a4f91,Nguyễn Hữu Trí,10.6854735,106.5540502,10.6963436,106.5939709,1.5,50.0,,secondary,,yes,,,,,,,,,,,,0.050791,74.50812846682936,4.529807727959195,3,-0.2207599218456294,34.0,24.0
c00e8a42b8162fb5644d5427c2cae0c5,Vòng xoay Lê Đại Hành,10.7690082,106.6524868,10.7690082,106.6524868,1.0,50.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,3,0.0,6.0,6.0
0c29b3b2d9fb79d0ba9b100c3778cd32,Lê Văn Thịnh,10.7765916,106.7657368,10.7769125,106.7659642,1.0,50.0,,,,,,,,,,,,,,,,0.000548,34.843066318995284,0.04334155012552782,3,0.0,6.0,6.0
83e87b7516a10efbe845ec087ce6ddbd,Nguyễn Du,10.7801784,106.7010865,10.8802415,106.7933053,1.0,50.0,,,,,,,,,,,,,,,,0.192282,42.14245983303175,14.97320165330798,1,0.08014318031540621,6.0,18.0
86163a5b85f5781a1a097719e51b4386,Phạm Văn Đồng,10.8666573,106.7617638,10.8185142,106.6869633,1.0,50.0,,,,,,,,,,,,,,,,0.122944,236.76945385103906,9.75990810371127,1,-0.030737994334795325,32.0,29.0
36f0793dfa3b722599200d458bd014aa,Sư Vạn Hạnh,10.7774435,106.6659013,10.7742735,106.6682193,1.0,50.0,,,,,,,,,,,,,,,,0.005488,144.3087410066429,0.43269189177279643,1,0.0,27.0,27.0
6be66491f570c0e12dc9a63eb2d8f0a2,Tân Hoà Đông,10.7542847,106.6342541,10.7560579,106.6326357,1.0,50.0,,,,,,,,,,,,,,,,0.003392,318.1186102717437,0.26420615812373743,5,0.0,33.0,33.0
009679450cd5669cc80d7892fd165528,Sư Vạn Hạnh,10.77004,106.6705481,10.77004,106.6705481,1.0,50.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,3,0.0,25.0,25.0
a4a81e2375290beb6afe95542446bc64,Đường Nguyễn Văn Linh,10.7208632,106.6572305,10.7341285,106.7221401,1.0,50.0,,,,,,,,,,,,,,,,0.078175,78.24392859698759,7.250277204321196,2,-0.15171833696846726,22.0,11.0
f2d459490aa10bfe84e2ce7c321b0772,Kha Vạn Cân,10.8270992,106.7153558,10.8504341,106.7545053,1.0,50.0,,,,,,,,,,,,,,,,0.062484,58.743912978961305,4.998814160997063,4,0.04000948896249986,7.0,9.0
a5f37f0263279eb53c979f4af8037db8,Bưng Ông Thòan,10.828493,106.7887386,10.8287562,106.7885591,1.0,50.0,,,,,,,,,,,,,,,,0.000443,326.18398155756336,0.035112199356267595,3,0.0,21.0,21.0
38a661558bc6a99ae1fccf8a8bf061b0,Cầu Kênh Xáng,10.7413597,106.6885411,10.7415302,106.6884693,1.0,50.0,,,,,,,,,,,,,,,,0.000242,337.52338033061193,0.020429379873433226,5,0.0,14.0,14.0
0061b758a42f099e6d194fe2d6e75c78,Phường Tam Bình,10.8649833,106.728414,10.8648292,106.7285029,1.0,50.0,,,,,,,,,,,,,,,,0.000243,150.46597252083745,0.01962221402714941,1,0.0,27.0,27.0
adf40601c9de600d25b9039e2177ac82,Cầu Thị Nghè,10.7910523,106.7058445,10.7924505,106.707195,1.0,50.0,,,,,,,,,,,,,,,,0.002749,43.494980726086965,0.21385388265310665,1,1.4028269970044518,21.0,24.0
136a16e68a33440c5e2a4f5c988c22e7,Cống Quỳnh,10.7635026,106.6905496,10.7666744,106.688366,1.5,50.0,,secondary,asphalt,no,,,,,,,,,,,,0.005355,325.9286856901901,0.42441589271334823,1,0.23561794390093752,8.0,9.0
d47ab17a4d2eef912cf5956300fb8bf4,Hầm sông Sài Gòn,10.76834,106.7031455,10.7684374,106.7033248,1.0,50.0,,,,,,,,,,,,,,,,0.000277,61.05909966725682,0.022374998105866812,2,0.0,26.0,26.0
deb41e409d227136251629f2882ac34f,Mai Chí Thọ,10.7784791,106.7322207,10.8012401,106.7529968,1.0,50.0,,,,,,,,,,,,,,,,0.043537,41.87923681669963,3.391366828942598,1,0.3833262709611776,5.0,18.0
5a29d9e1c0f7c90a5c22fb3e69f612f8,Quang Trung,10.835952,106.6605258,10.8395934,106.6466938,1.0,50.0,,,,,,,,,,,,,,,,0.017473,285.00615478009945,1.5652004396667702,3,-0.6388958082665113,20.0,10.0
823a0dbc9b2b7b01d1fa23d547c80121,Đường Lãnh Binh Thăng,10.7620808,106.6568525,10.7621391,106.6567535,1.0,50.0,,,,,,,,,,,,,,,,0.000157,300.93984438922075,0.012602893020183154,3,0.0,33.0,33.0
