segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek,speedLimitRatio,relativeCongestionIndex,routeSlopePercent,intersectionCount,hourOfDay,dayType
1a18ebf92c26b4fa90079e937e3a53c2,Đường Nguyễn Tri Phương,10.758935,106.6691456,10.756601,106.6695945,2.5,55.0,FRC3,primary,asphalt,yes,,,18.0,30.0,0.0,0.6,2700.0,40.0,0,C,0.1,,,,,,,,,,0.002783,169.30003515497583,0.26279800479401394,2603090758,0,0.32727272727272727,0.4,-0.7610407855141967,5,7,Weekday
9e87e65f14478d95d9cb204282304d19,Hẻm 6 Đường Số 12,10.8433563,106.7054307,10.8435122,106.7057848,1.0,50.0,FRC2,residential,asphalt,,,,27.0,42.0,0.0,0.6428571428571429,1002.86,35.71428571428571,0,C,0.06666666666666667,,,,,,,,,,0.00051,65.85446120988655,0.042385603850894134,2603090758,0,0.54,0.35714285714285715,0.0,5,7,Weekday
18ead8f3b4eae621f99e051d0932fbce,Đường Trịnh Thị Miếng,10.8826122,106.6159517,10.8839449,106.6112355,1.0,50.0,FRC4,residential,asphalt,,,,26.0,35.0,0.0,0.7428571428571429,822.86,25.71428571428571,0,B,0.06923076923076923,,,,,,,,,,0.006049,286.0538716868163,0.5362825844929494,2603090758,0,0.52,0.2571428571428571,-0.559406567870645,4,7,Weekday
fa678391a551977b9049b5334e5c9bb2,Đường Lương Định Của,10.7828466,106.7199382,10.7820242,106.7205208,3.0,60.0,FRC4,secondary,asphalt,yes,,,35.5,38.0,0.0,0.9342105263157895,1435.26,6.578947368421051,0,A,0.05070422535211268,,,,yes,,,,yes,,0.001405,145.16561495384292,0.11106349714666588,2603090758,0,0.5916666666666667,0.06578947368421052,0.9003858384536921,2,7,Weekday
b735a8d0930fb7584bff1435f4a8e3c6,Đường Nguyễn Văn Quỳ,10.7432943,106.7405148,10.7383028,106.7313895,2.0,50.0,FRC1,trunk,,yes,,,33.0,37.5,0.0,0.88,1152.0,12.0,0,B,0.05454545454545455,,,,yes,,,,,,0.014117,240.8939864217424,1.140670957304302,2603090758,0,0.66,0.12,1.4026832100478919,1,7,Weekday
e0854d4ff600c5a1deaab14736694bdd,Đường Nguyễn Thái Học,10.7651757,106.69714,10.7679022,106.6954254,2.0,50.0,FRC3,service,concrete,,,,22.5,32.5,0.0,0.6923076923076923,1827.69,30.76923076923077,0,C,0.08,,,,,,,,,,0.004441,328.2926104301754,0.35513661424440335,2603090758,0,0.45,0.3076923076923077,0.0,3,7,Weekday
669b4f82a96054836defd912dade0401,Đường Kha Vạn Cân,10.849516,106.7489666,10.8414243,106.7439592,1.5,50.0,FRC2,residential,,,,,32.0,42.0,0.0,0.7619047619047619,1182.86,23.809523809523814,0,B,0.056249999999999994,,,,,,,,,,0.013099,211.2907939253303,1.049241069342425,2603090758,0,0.64,0.23809523809523808,-1.2389907695995253,4,7,Weekday
45a5f0ce435f0ecbc44a6cbfaf5a3440,Đường Tô Ngọc Vân,10.8609748,106.7421212,10.8625757,106.743489,1.0,50.0,FRC3,service,,,,,32.5,41.5,0.0,0.7831325301204819,750.36,21.68674698795181,0,B,0.05538461538461539,,,,,,,,,,0.002969,39.9994675251275,0.23178411719792613,2603090758,0,0.65,0.21686746987951808,1.294307839668853,1,7,Weekday
a6046a1a61622971d701d21428890290,Đường Liên Khu 3,10.8804438,106.8104451,10.8780069,106.8088204,2.0,50.0,FRC1,residential,asphalt,,,,47.0,58.0,0.0,0.8103448275862069,1402.76,18.965517241379317,0,B,0.03829787234042553,,,,,,,,,,0.004062,213.21392904740117,0.32281997493360737,2603090759,0,0.94,0.1896551724137931,8.05402453963615,2,7,Weekday
d21e230286ed05f3b67dd652c64f0201,Đường Xa Lộ Hà Nội,10.8633078,106.7965925,10.8010884,106.7392519,2.5,55.0,FRC1,trunk,asphalt,yes,,,46.5,52.5,0.0,0.8857142857142857,1414.29,11.428571428571432,0,B,0.03870967741935484,,,,,,,,,,0.11956,222.1557193720376,9.310246084847295,2603090759,0,0.8454545454545455,0.11428571428571428,-0.31148478499616,5,7,Weekday
