segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,ref,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation,timeStamp,dayOfWeek,hourOfDay,dayType,currentSpeed,freeFlowSpeed,jamFactor,incidentFlag,congestionIndex,trafficVolume,LOS,occupancy,crossTime,speedLimitRatio,relativeCongestionIndex,route_distance_m,route_duration_sec,route_weight,congestion_levels,map_match_confidence
53924faefb7652b3bdaf1cc16ed31414,Nguyễn Tri Phương,10.7666599,106.6674092,10.7546206,106.6696106,1.0,50.0,,,asphalt,no,,0.014241,169.8160309267911,1.3532947815842284,4,-0.7389373059056317,18.0,8.0,2604041816,5,18,Weekend,16.0,31.5,0.0,0,0.5079365079365079,1245.71,C,49.20634920634921,0.3044913258564514,0.32,0.49206349206349204,1407.931,378.445,372.164,[],0.985681
444c90dbab5fb43ac25e4e7b3069667e,Hẻm 504 Kinh Dương Vương,10.7379148,106.6147828,10.7377688,106.6146944,1.0,50.0,,,asphalt,no,,0.000234,210.74746906466493,0.0188229614100835,5,0.0,26.0,26.0,2604041816,5,18,Weekend,26.0,35.0,0.0,0,0.7428571428571429,822.86,B,25.71428571428571,0.002606256195242331,0.52,0.2571428571428571,27.024,6.442,12.698,[],0.980785
81b575c76e07e31e195a8cc54482dc4e,Đường Lê Đại Hành,10.7684337,106.652716,10.7623035,106.65706,1.0,50.0,,,asphalt,no,,0.010474,145.15583585378772,0.8279663544052426,4,3.5025577845891727,5.0,34.0,2604041816,5,18,Weekend,19.5,32.5,0.0,0,0.6,1080.0,C,40.0,0.1528553269671217,0.39,0.4,863.971,177.096,182.849,[],0.979681
19c8635315668853c94cc17a523ee97f,Phường Bình Chiểu,10.8878174,106.7287564,10.8878003,106.728711,1.0,50.0,FRC3,,asphalt,no,,6.2e-05,249.01536786896853,0.0053117147700393,1,0.0,20.0,20.0,2604041816,5,18,Weekend,24.0,37.0,0.0,0,0.6486486486486487,992.43,C,35.13513513513513,0.0007967572155058951,0.48,0.35135135135135137,574.024,123.461,225.993,[],0.0
22ad63cc1fad145a51f5915af4b63bc3,Học Lạc,10.7519423,106.6544294,10.7516397,106.6544546,1.0,50.0,,,asphalt,no,,0.000328,175.3226886434685,0.0335847704038934,2,0.0,20.0,20.0,2604041816,5,18,Weekend,21.0,32.0,0.0,0,0.65625,978.75,C,34.375,0.005757389212096012,0.42,0.34375,35.845,10.754,10.754,[],0.975979
ea14fc6b6273dcb810b2b2df002c6e95,Cách Mạng Tháng Tám,10.7752936,106.6864011,10.7766471,106.6839026,1.0,50.0,,,asphalt,no,,0.003852,298.8747474402298,0.3115847487869516,4,-0.6418799404612434,16.0,14.0,2604041816,5,18,Weekend,18.0,31.0,0.0,0,0.5806451612903226,1114.84,C,41.93548387096774,0.062316949757390314,0.36,0.41935483870967744,308.04,63.804,64.426,[],0.97816
51d905077b9a55d0a107c12a6f045eb1,Thành phố Thuận An,10.8877621,106.6998839,10.8886155,106.6944551,1.0,50.0,,,asphalt,no,,0.006282,279.0952848260871,0.6009827323819156,4,-0.6655765273232609,21.0,17.0,2604041816,5,18,Weekend,34.5,48.0,0.0,0,0.71875,866.25,B,28.125,0.06271124163985206,0.69,0.28125,944.33,155.454,176.973,[],0.0
6a00832a711b7b634d2304dea9532ce4,Nguyễn Kiệm,10.8192058,106.6787669,10.8132332,106.6786725,1.0,50.0,,,asphalt,no,,0.006067,180.88943798273,0.660730175328525,2,-0.9080862694089472,22.0,16.0,2604041816,5,18,Weekend,22.0,32.0,0.0,0,0.6875,922.5,C,31.25,0.10811948323557682,0.44,0.3125,1762.167,277.862,288.419,[],0.0
b742e1d71e699d94790e1193f8662294,Sư Van Hạnh,10.7575965,106.6738445,10.7589142,106.6735498,1.0,50.0,,,asphalt,no,,0.001612,347.60811261398004,0.1492762683480435,3,0.6698988466595779,15.0,16.0,2604041816,5,18,Weekend,22.0,28.0,0.0,0,0.7857142857142857,745.71,B,21.42857142857143,0.024427025729679846,0.44,0.21428571428571427,153.225,32.455,32.598,[],0.977833
f67cc9b9141adb8a2e9c62d647c26b37,Đường Phan Văn Trị,10.83081,106.6778193,10.8308562,106.6777619,1.0,50.0,,,asphalt,no,,0.000104,309.3338003871257,0.0080939492821181,4,0.0,32.0,32.0,2604041816,5,18,Weekend,19.0,33.0,0.0,0,0.5757575757575758,1123.64,C,42.42424242424242,0.001533590390296061,0.38,0.42424242424242425,7.648,2.296,2.296,[],0.618711
