fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size,gate_reason,gate_pass,silhouette_norm,davies_bouldin_norm,ARI_norm,NMI_norm,RMSE_norm,weighted_score,pareto_front
ET,partition,MiniBatchKMeans,{'k': 19},19,0.21329234401272262,1.3444720529286935,345.9876033989014,0.23250060318534232,0.4170185644741896,0.7164556962025317,0.3478481012658228,0.7301811809147271,1975,0.0,0.09518987341772152,17,188,,True,0.4944942488347502,0.7404127933288696,0.5694867776011349,0.830338950483706,0.6918458691709446,0.6399771920150464,True
ET,hierarchical,Agglomerative_single,{'k': 3},3,0.2924484084711179,0.6001137357993963,18.595596858745907,4.747870207809929e-05,0.005347272872333434,0.22481012658227847,1.3670886075949367,1.7160449080901927,1975,0.0,0.9954430379746836,1,1966,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.5564999772615734,0.8957441028391171,0.0010125774638457786,0.006670096640511596,0.27578751556743397,0.3298977717167859,False
ET,hierarchical,Agglomerative_single,{'k': 5},5,0.2630826328235876,0.5289633474762402,17.237727627937698,0.00010248678689111053,0.011208195540017821,0.22784810126582278,1.3589873417721519,1.7092451513290223,1975,0.0,0.9924050632911392,1,1960,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.5334967326927277,0.9105916335727311,0.001147102121600646,0.018396587058075193,0.2786571774943032,0.32874062729706366,False
ET,hierarchical,Agglomerative_single,{'k': 7},7,0.11579709754962729,0.5436621524244515,11.950145528555165,4.831461417764306e-05,0.01391411101531732,0.22835443037974684,1.3584810126582278,1.7090970300798747,1975,0.0,0.9918987341772152,1,1959,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.4181227943358432,0.9075243142880529,0.0010146217231485073,0.023810562585647423,0.2787196882464035,0.30022852319508364,False
ET,hierarchical,Agglomerative_single,{'k': 9},9,0.047329313905479474,0.5813081167033398,10.859054314099494,0.00012081912617122886,0.019584497119855132,0.23139240506329115,1.350379746835443,1.7025669376606576,1975,0.0,0.9888607594936709,1,1953,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.3644895720720341,0.8996684244636902,0.001191934652598357,0.0351558288669068,0.2814755452943164,0.28793912373961095,False
ET,hierarchical,Agglomerative_single,{'k': 11},11,0.04063651962455391,0.5712298511618553,8.980503110892139,6.558163953591584e-05,0.022130504008991383,0.23189873417721518,1.349367088607595,1.7019720505224207,1975,0.0,0.9883544303797468,1,1952,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.3592468709923488,0.9017715381767044,0.0010568489827352077,0.04024986048638609,0.28172660206463074,0.2877244602061607,False
ET,hierarchical,Agglomerative_single,{'k': 13},13,0.15960325800619934,0.6575448625533553,73.91286767353034,0.06377382146887145,0.0890670545179378,0.31746835443037974,1.230379746835443,1.687481833001132,1975,0.0,0.5544303797468354,1,1095,min_cluster_size<10,False,0.45243770005124434,0.8837594820992754,0.15685811325760432,0.17417601215800385,0.2878418245635219,0.36858264237850846,True
ET,hierarchical,Agglomerative_single,{'k': 15},15,0.16419528636104064,0.7782761461125708,82.41800352359813,0.08302681490243227,0.12084212604005472,0.3341772151898734,1.461772151898734,1.965396858175616,1975,0.0,0.48455696202531645,1,957,min_cluster_size<10,False,0.45603479731785007,0.8585655023417436,0.203942143927108,0.23775133857818984,0.17055495759758244,0.363552752968746,False
ET,hierarchical,Agglomerative_single,{'k': 17},17,0.1415036290218489,0.7512038497626363,72.74314115267944,0.08289886943682435,0.1214054472545468,0.3341772151898734,1.461772151898734,1.965396858175616,1975,0.0,0.4840506329113924,1,956,min_cluster_size<10,False,0.4382596242827128,0.8642148988040583,0.20362924774047106,0.23887842746816518,0.17055495759758244,0.3600472084661459,False
ET,hierarchical,Agglomerative_single,{'k': 19},19,0.17660078452945424,0.7648221670999993,88.65374837764845,0.18268809355529853,0.3113280903563982,0.4253164556962025,1.1853164556962026,1.6909288886080083,1975,0.0,0.4840506329113924,1,956,min_cluster_size<10,False,0.46575246021194716,0.8613730536648829,0.4476681243491374,0.6188742371197767,0.28638708366876797,0.5076696564917237,True
ET,hierarchical,Agglomerative_complete,{'k': 3},3,0.14168355344914477,1.6208711564665155,236.9933287556646,0.10078845780940947,0.22070850049769186,0.3539240506329114,1.4962025316455696,2.1260291625469296,1975,0.0,0.710379746835443,93,1403,largest_cluster_ratio>0.7,False,0.4384005654127777,0.6827343423570769,0.247379012186519,0.4375632367237402,0.10276423738948237,0.36004237873984324,False
ET,hierarchical,Agglomerative_complete,{'k': 5},5,0.1388319524507792,1.3793886705092984,166.48306956878977,0.09841702190838558,0.23305354621229554,0.3837974683544304,1.5544303797468355,2.181162156839876,1975,0.0,0.6708860759493671,3,1325,min_cluster_size<10,False,0.4361668060881306,0.7331264584983799,0.24157956281362633,0.4622631122356415,0.0794967794209509,0.36464438371973257,False
ET,hierarchical,Agglomerative_complete,{'k': 7},7,0.1480162449558595,1.6356672529486873,168.53549291472268,0.09704328653216572,0.2243665167734065,0.40759493670886077,1.3954430379746836,2.030401843372297,1975,0.0,0.5645569620253165,3,1115,min_cluster_size<10,False,0.4433611853281677,0.6796467204560019,0.23822003335609432,0.44488216844092104,0.14312128053712414,0.36769889411302875,False
ET,hierarchical,Agglomerative_complete,{'k': 9},9,0.18982717127388768,1.5862553328375106,240.76855278275377,0.17379658031636072,0.28784073452046066,0.5134177215189873,0.8759493670886076,1.4298800516215744,1975,0.0,0.389873417721519,3,770,min_cluster_size<10,False,0.4761131539901798,0.6899579080650624,0.425923542994288,0.5718809105122366,0.3965560110091245,0.4940961992345367,False
ET,hierarchical,Agglomerative_complete,{'k': 11},11,0.1567713194405898,1.4489839304933012,210.93189643082366,0.16849972585406475,0.28524301252306045,0.5134177215189873,0.8759493670886076,1.4298800516215744,1975,0.0,0.389873417721519,3,770,min_cluster_size<10,False,0.45021934300150845,0.7186034490548736,0.4129698556201519,0.5666834076893502,0.3965560110091245,0.48790153036887357,False
ET,hierarchical,Agglomerative_complete,{'k': 13},13,0.1562521708131451,1.3336760756252497,210.92491015755942,0.1694160939516713,0.2908857077804298,0.5260759493670886,0.8759493670886076,1.4502727809762226,1975,0.0,0.389873417721519,3,770,min_cluster_size<10,False,0.449812675628304,0.7426656777978096,0.4152108735564615,0.5779732703298543,0.3879497856588061,0.49194168664710214,False
ET,hierarchical,Agglomerative_complete,{'k': 15},15,0.18333130330740513,1.3643940005599204,242.30974606060775,0.16899093790518954,0.3051429157263506,0.5260759493670886,0.8759493670886076,1.4502727809762226,1975,0.0,0.22835443037974684,3,451,min_cluster_size<10,False,0.4710247122165501,0.7362555183413511,0.41417113600079514,0.6064989857911549,0.3879497856588061,0.5003020948059734,False
ET,hierarchical,Agglomerative_complete,{'k': 17},17,0.1630572818001397,1.3303836235015047,227.63902980911928,0.15450951255200526,0.29985354468581327,0.5417721518987342,0.8278481012658228,1.4104492506317252,1975,0.0,0.22126582278481013,3,437,min_cluster_size<10,False,0.45514335833292174,0.7433527405847928,0.37875618207062334,0.5959160516119014,0.4047562793080669,0.49031645979200383,False
ET,hierarchical,Agglomerative_complete,{'k': 19},19,0.14599764867788545,1.388531330295881,222.32294474599507,0.13467458186767056,0.298032109322421,0.5417721518987342,0.8278481012658228,1.4104492506317252,1975,0.0,0.20708860759493672,3,409,min_cluster_size<10,False,0.4417799478895474,0.7312185852545725,0.33024899860892054,0.5922717373040537,0.4047562793080669,0.47248204087002427,False
ET,hierarchical,Agglomerative_average,{'k': 3},3,0.2489536780974436,1.3380545480543946,87.11174110622726,0.0004581731138887452,0.050445284906360174,0.2410126582278481,1.3174683544303798,1.6721092569233051,1975,0.0,0.9605063291139241,36,1897,largest_cluster_ratio>0.7,False,0.5224290256800245,0.7417519863129121,0.0020169484645535807,0.0969018631990566,0.29432942372888504,0.31577545570871685,False
ET,hierarchical,Agglomerative_average,{'k': 5},5,0.1870689445853732,1.0301736000308312,49.016729889170556,0.00023839531586521457,0.051294515745475854,0.2410126582278481,1.3174683544303798,1.6721092569233051,1975,0.0,0.9605063291139241,1,1897,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.47395253804549065,0.8060000100525991,0.0014794723251508755,0.09860099793633918,0.29432942372888504,0.31341403853677813,False
ET,hierarchical,Agglomerative_average,{'k': 7},7,0.08883579883775303,1.0330867508094286,36.59780236717776,-4.146305211053337e-05,0.05606524383709648,0.2410126582278481,1.3174683544303798,1.6721092569233051,1975,0.0,0.958987341772152,1,1894,largest_cluster_ratio>0.7; min_cluster_size<10,False,0.3970030610923896,0.8053920991650235,0.0007950665455323079,0.1081462351665881,0.29432942372888504,0.29534616680499926,False
