fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
XGB,partition,MiniBatchKMeans,{'k': 9},9,0.2409325652023441,1.4384048939037368,347.58285608065444,0.28130189800766425,0.43581330531411977,0.6364556962025316,0.5027848101265823,0.9192732407392485,1975,0.0,0.20506329113924052,47,405
XGB,partition,MiniBatchKMeans,{'k': 11},11,0.22281590349391886,1.4293077917739692,310.420092109298,0.2929545629711533,0.4535672622217537,0.6789873417721519,0.39341772151898735,0.7527165990470867,1975,0.0,0.19949367088607595,46,394
XGB,partition,MiniBatchKMeans,{'k': 13},13,0.24247103546344545,1.3645398349605853,283.47833828379777,0.26669538029857115,0.4295763975601379,0.6713924050632911,0.40810126582278483,0.7637349928087008,1975,0.0,0.1939240506329114,22,383
XGB,partition,MiniBatchKMeans,{'k': 15},15,0.2539951342346836,1.3132906585378152,262.80045653439515,0.2426363656249843,0.432210753955834,0.670379746835443,0.41012658227848103,0.7670426522558879,1975,0.0,0.1959493670886076,18,387
XGB,partition,MiniBatchKMeans,{'k': 17},17,0.24741029267900208,1.313290113343344,241.84933957990975,0.24117468609795584,0.43052540784377824,0.6789873417721519,0.3939240506329114,0.7462988847080342,1975,0.0,0.1858227848101266,18,367
XGB,partition,MiniBatchKMeans,{'k': 19},19,0.2566241527771951,1.2840904415958323,241.38330133019295,0.21574925030669978,0.4217458526658019,0.669367088607595,0.370126582278481,0.6828829430612912,1975,0.0,0.16860759493670885,18,333
XGB,hierarchical,Agglomerative_single,{'k': 3},3,0.8586173299218696,0.10051230704584424,87.71466461694378,6.214678007024149e-07,0.002013545627098351,0.22278481012658227,1.3741772151898735,1.7225239062477293,1975,0.0,0.9989873417721519,1,1973
XGB,hierarchical,Agglomerative_single,{'k': 5},5,0.5297942390096928,0.36617453612046114,54.05686618823837,2.384243424490274e-05,0.006984670282742812,0.22531645569620254,1.3675949367088607,1.7170772930709166,1975,0.0,0.9964556962025316,1,1968
XGB,hierarchical,Agglomerative_single,{'k': 7},7,0.45040226899041863,0.3806643693575837,48.986548117492795,9.421915197207471e-05,0.012852660132980328,0.22835443037974684,1.3584810126582278,1.7090970300798747,1975,0.0,0.9934177215189873,1,1962
XGB,hierarchical,Agglomerative_single,{'k': 9},9,0.35360525273528204,0.3747628026973341,37.35621577777051,3.545121675979817e-05,0.013725867893590106,0.22835443037974684,1.3584810126582278,1.7090970300798747,1975,0.0,0.9929113924050633,1,1961
