fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
ET,partition,MiniBatchKMeans,{'k': 11},11,0.2454840069992407,1.2920526552229157,410.7752616155619,0.24498638779837573,0.38470823697515577,0.640506329113924,0.5103797468354431,0.9562585318557087,1975,0.0,0.16253164556962024,17,321
ET,partition,MiniBatchKMeans,{'k': 13},13,0.24861915432291723,1.2759432916979199,390.1924353314469,0.24285439386407578,0.3861444581120352,0.6577215189873418,0.4820253164556962,0.9321270082417261,1975,0.0,0.149873417721519,20,296
ET,partition,MiniBatchKMeans,{'k': 15},15,0.23001013043206928,1.342036444835561,378.0953360158326,0.24427334173074935,0.40740199767480545,0.6789873417721519,0.3949367088607595,0.7703361094476795,1975,0.0,0.12354430379746835,20,244
ET,partition,MiniBatchKMeans,{'k': 17},17,0.20310498348932016,1.4327778630120651,345.07551813869276,0.24771243894661898,0.4135656818492331,0.7088607594936709,0.36658227848101266,0.7557375473709965,1975,0.0,0.11291139240506329,17,223
ET,partition,MiniBatchKMeans,{'k': 19},19,0.21329234401272262,1.3444720529286935,345.9876033989014,0.23250060318534232,0.4170185644741896,0.7164556962025317,0.3478481012658228,0.7301811809147271,1975,0.0,0.09518987341772152,17,188
ET,hierarchical,Agglomerative_single,{'k': 3},3,0.2924484084711179,0.6001137357993963,18.595596858745907,4.747870207809929e-05,0.005347272872333434,0.22481012658227847,1.3670886075949367,1.7160449080901927,1975,0.0,0.9954430379746836,1,1966
ET,hierarchical,Agglomerative_single,{'k': 5},5,0.2630826328235876,0.5289633474762402,17.237727627937698,0.00010248678689111053,0.011208195540017821,0.22784810126582278,1.3589873417721519,1.7092451513290223,1975,0.0,0.9924050632911392,1,1960
ET,hierarchical,Agglomerative_single,{'k': 7},7,0.11579709754962729,0.5436621524244515,11.950145528555165,4.831461417764306e-05,0.01391411101531732,0.22835443037974684,1.3584810126582278,1.7090970300798747,1975,0.0,0.9918987341772152,1,1959
ET,hierarchical,Agglomerative_single,{'k': 9},9,0.047329313905479474,0.5813081167033398,10.859054314099494,0.00012081912617122886,0.019584497119855132,0.23139240506329115,1.350379746835443,1.7025669376606576,1975,0.0,0.9888607594936709,1,1953
ET,hierarchical,Agglomerative_single,{'k': 11},11,0.04063651962455391,0.5712298511618553,8.980503110892139,6.558163953591584e-05,0.022130504008991383,0.23189873417721518,1.349367088607595,1.7019720505224207,1975,0.0,0.9883544303797468,1,1952
ET,hierarchical,Agglomerative_single,{'k': 13},13,0.15960325800619934,0.6575448625533553,73.91286767353034,0.06377382146887145,0.0890670545179378,0.31746835443037974,1.230379746835443,1.687481833001132,1975,0.0,0.5544303797468354,1,1095
ET,hierarchical,Agglomerative_single,{'k': 15},15,0.16419528636104064,0.7782761461125708,82.41800352359813,0.08302681490243227,0.12084212604005472,0.3341772151898734,1.461772151898734,1.965396858175616,1975,0.0,0.48455696202531645,1,957
ET,hierarchical,Agglomerative_single,{'k': 17},17,0.1415036290218489,0.7512038497626363,72.74314115267944,0.08289886943682435,0.1214054472545468,0.3341772151898734,1.461772151898734,1.965396858175616,1975,0.0,0.4840506329113924,1,956
ET,hierarchical,Agglomerative_single,{'k': 19},19,0.17660078452945424,0.7648221670999993,88.65374837764845,0.18268809355529853,0.3113280903563982,0.4253164556962025,1.1853164556962026,1.6909288886080083,1975,0.0,0.4840506329113924,1,956
